id,date,size_plt,peroid,category,location_id,item_id,popularity,revenue,income,avg_profit
50,2022-04-03 00:00:00.000,5.63977718353271,15,2,3,1959,4.02535169073515,1007.40,279.40,0.259994357824326
51,2022-04-03 00:00:00.000,4.90638542175293,15,2,13,833,4.00733318523247,1013.15,133.15,0.13140195608139
52,2022-04-03 00:00:00.000,5.14807558059692,15,2,3,11918,3.98898404656427,1304.10,170.10,0.130400002002716
53,2022-04-03 00:00:00.000,4.83031177520752,15,2,3,1449,3.97029191355212,1868.75,-123.25,0.101126529276371
54,2022-04-03 00:00:00.000,1.3862943649292,15,2,6,488,3.93182563272433,257.00,2.00,0.00560196070000529
55,2022-04-03 00:00:00.000,0.6931471824646,15,2,34,10276,3.89182029811063,882.00,0.00,0
56,2022-04-03 00:00:00.000,4.70862913131714,15,2,13,812,3.87120101090789,972.90,108.90,0.12756521999836
57,2022-04-03 00:00:00.000,4.64727115631104,15,2,3,5061,3.80666248977032,462.30,102.30,0.20418182015419
58,2022-04-03 00:00:00.000,3.32503604888916,15,2,6,2530,3.76120011569356,197.80,25.80,0.130400002002716
59,2022-04-03 00:00:00.000,5.70331573486328,15,2,23,7709,3.76120011569356,2284.2998,297.86,0.130306154489517
60,2022-04-03 00:00:00.000,0.6931471824646,15,2,3,742,3.71357206670431,0.00,0.00,0
61,2022-04-03 00:00:00.000,7.81025552749634,30,0,21,3937,6.48616078894409,18888.7598,2463.76,0.130400002002716
62,2022-04-03 00:00:00.000,0.6931471824646,30,0,3,1862,6.45519856334012,0.00,0.00,0
63,2022-04-03 00:00:00.000,0.6931471824646,30,0,3,1853,6.43454651878745,0.00,0.00,0
64,2022-04-03 00:00:00.000,6.78445720672607,30,0,6,4005,6.08221891037645,7452.00,882.00,0.128346458077431
65,2022-04-03 00:00:00.000,0.6931471824646,30,0,3,1013,5.95064255258773,0.00,0.00,0
66,2022-04-03 00:00:00.000,0.6931471824646,30,0,17,252,5.92958914338989,0.00,0.00,0
