59,2022-05-02 00:00:00.000,1905-07-08 00:00:00.000,6,527.00,713.00,189.00
60,2022-05-02 00:00:00.000,1905-07-08 00:00:00.000,7,210.00,281.00,70.00
61,2022-05-02 00:00:00.000,1905-07-08 00:00:00.000,8,239.00,300.00,61.00
62,2022-05-02 00:00:00.000,1905-07-08 00:00:00.000,9,1037.00,1238.00,197.00
63,2022-05-02 00:00:00.000,1905-07-08 00:00:00.000,10,456.00,580.00,123.00
64,2022-05-02 00:00:00.000,1905-07-07 00:00:00.000,3,1702.00,2271.00,572.00
65,2022-05-02 00:00:00.000,1905-07-07 00:00:00.000,5,1949.00,2657.00,711.00
66,2022-05-02 00:00:00.000,1905-07-07 00:00:00.000,6,666.00,895.00,229.00
67,2022-05-02 00:00:00.000,1905-07-07 00:00:00.000,7,22.00,27.00,5.00
68,2022-05-02 00:00:00.000,1905-07-07 00:00:00.000,8,135.00,173.00,35.00
69,2022-05-02 00:00:00.000,1905-07-07 00:00:00.000,9,1039.00,1276.00,235.00
70,2022-05-02 00:00:00.000,1905-07-07 00:00:00.000,10,323.00,416.00,96.00
71,2022-05-02 00:00:00.000,1905-07-06 00:00:00.000,3,1368.00,1816.00,450.00
72,2022-05-02 00:00:00.000,1905-07-06 00:00:00.000,5,2123.00,2892.00,769.00
73,2022-05-02 00:00:00.000,1905-07-06 00:00:00.000,6,464.00,635.00,170.00
74,2022-05-02 00:00:00.000,1905-07-06 00:00:00.000,7,118.00,156.00,37.00
75,2022-05-02 00:00:00.000,1905-07-06 00:00:00.000,8,386.00,474.00,89.00
76,2022-05-02 00:00:00.000,1905-07-06 00:00:00.000,9,1039.00,1252.00,207.00
77,2022-05-02 00:00:00.000,1905-07-06 00:00:00.000,10,394.00,510.00,116.00
78,2022-05-02 00:00:00.000,1905-07-05 00:00:00.000,3,1284.00,1720.00,435.00
79,2022-05-02 00:00:00.000,1905-07-05 00:00:00.000,5,1894.00,2582.00,692.00
80,2022-05-02 00:00:00.000,1905-07-05 00:00:00.000,6,600.00,810.00,203.00
81,2022-05-02 00:00:00.000,1905-07-05 00:00:00.000,7,186.00,242.00,54.00
82,2022-05-02 00:00:00.000,1905-07-05 00:00:00.000,8,165.00,204.00,37.00
83,2022-05-02 00:00:00.000,1905-07-05 00:00:00.000,9,1143.00,1379.00,232.00
84,2022-05-02 00:00:00.000,1905-07-05 00:00:00.000,10,330.00,432.00,95.00
85,2022-05-02 00:00:00.000,1905-07-04 00:00:00.000,3,1157.00,1545.00,390.00
86,2022-05-02 00:00:00.000,1905-07-04 00:00:00.000,5,1772.00,2425.00,661.00
87,2022-05-02 00:00:00.000,1905-07-04 00:00:00.000,6,536.00,723.00,186.00
88,2022-05-02 00:00:00.000,1905-07-04 00:00:00.000,7,125.00,171.00,49.00
89,2022-05-02 00:00:00.000,1905-07-04 00:00:00.000,8,213.00,251.00,38.00
90,2022-05-02 00:00:00.000,1905-07-04 00:00:00.000,9,945.00,1148.00,199.00
91,2022-05-02 00:00:00.000,1905-07-04 00:00:00.000,10,308.00,397.00,85.00
92,2022-05-02 00:00:00.000,1905-07-03 00:00:00.000,3,1207.00,1603.00,397.00
93,2022-05-02 00:00:00.000,1905-07-03 00:00:00.000,5,1890.00,2578.00,695.00
94,2022-05-02 00:00:00.000,1905-07-03 00:00:00.000,6,746.00,1001.00,259.00
95,2022-05-02 00:00:00.000,1905-07-03 00:00:00.000,7,189.00,250.00,56.00
96,2022-05-02 00:00:00.000,1905-07-03 00:00:00.000,8,244.00,303.00,59.00
97,2022-05-02 00:00:00.000,1905-07-03 00:00:00.000,9,1062.00,1283.00,216.00
98,2022-05-02 00:00:00.000,1905-07-03 00:00:00.000,10,385.00,497.00,114.00
99,2022-05-02 00:00:00.000,1905-07-02 00:00:00.000,3,1353.00,1800.00,449.00
100,2022-05-02 00:00:00.000,1905-07-02 00:00:00.000,5,1861.00,2538.00,681.00
101,2022-05-02 00:00:00.000,1905-07-02 00:00:00.000,6,595.00,800.00,207.00
102,2022-05-02 00:00:00.000,1905-07-02 00:00:00.000,7,175.00,231.00,62.00
103,2022-05-02 00:00:00.000,1905-07-02 00:00:00.000,8,221.00,272.00,47.00
104,2022-05-02 00:00:00.000,1905-07-02 00:00:00.000,9,1029.00,1249.00,216.00
105,2022-05-02 00:00:00.000,1905-07-02 00:00:00.000,10,403.00,523.00,119.00
106,2022-05-02 00:00:00.000,1905-07-08 00:00:00.000,3,1414.00,1887.00,471.00
107,2022-05-02 00:00:00.000,1905-07-08 00:00:00.000,5,1925.00,2632.00,713.00
